Date,Gas,Strom
01.12.2023,182,97692
01.01.2024,228,97956
01.02.2024,263,98197
01.03.2024,162,98374
01.04.2024,157,98598
01.05.2024,121,98737
01.06.2024,74,98899
01.07.2024,56,98992
01.08.2024,18,99073
01.09.2024,0,99169
01.10.2024,5,99298
01.11.2024,108,99520
01.12.2024,177,99815
01.01.2025,331,100076
01.02.2025,344,100343
01.03.2025,256,100526
01.04.2025,198,100699
01.05.2025,97,100847
01.06.2025,80,101016
01.07.2025,37,101145
01.08.2025,34,101263
01.09.2025,34,101383
01.10.2025,34,101564
01.11.2025,180,101926
01.12.2025,182,102635
